                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8074,                 3.0198,                 1.8975,                0.00543,                      1,                0.28429,                0.10436,                 1.6166,                  3.186,                 1.9514,                      0,                      0,                      0
                      1,                 1.8126,                 3.1251,                  1.941,                0.00533,                      1,                0.25618,                0.11654,                 1.5635,                 3.1318,                 1.8534,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      2,                 1.8484,                 2.9668,                 1.9145,                0.00525,                      1,                0.26151,                 0.1371,                 1.4669,                 3.0779,                 1.7797,              3.268e-05,              3.268e-05,              3.268e-05
                      3,                 2.1023,                 3.2385,                 2.1942,                0.00514,                      1,                0.26338,                0.14648,                 1.3771,                 3.0623,                 1.7186,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      4,                 1.8547,                 3.1911,                 1.8532,                0.00508,                      1,                 0.2648,                0.14847,                 1.3401,                 3.0889,                 1.6601,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      5,                 1.8522,                 3.0146,                 1.7363,                0.00504,                      1,                0.24538,                0.15032,                 1.3579,                 3.0909,                  1.638,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      6,                 1.5817,                 3.0427,                 1.6635,                0.00497,                      1,                0.37859,                0.26502,                  1.337,                 3.0769,                 1.5867,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      7,                   1.49,                 3.0383,                 1.5431,                0.00494,                      1,                0.42225,                0.27622,                 1.3162,                 3.0394,                 1.5431,              0.0001086,              0.0001086,              0.0001086
                      8,                 1.7832,                 2.8643,                 1.6619,                0.00488,                      1,                0.42225,                0.27469,                 1.2921,                 3.0119,                 1.5305,              0.0001228,              0.0001228,              0.0001228
                      9,                 1.6665,                 3.1106,                 1.7227,                0.00486,                      1,                0.42225,                0.29056,                  1.255,                 3.0014,                 1.5155,             0.00013666,             0.00013666,             0.00013666
                     10,                 1.8496,                 2.8612,                 1.9306,                0.00486,                      1,                0.43042,                0.29799,                 1.2424,                 2.9736,                 1.5057,              0.0001502,              0.0001502,              0.0001502
                     11,                  1.657,                 2.6759,                 1.6473,                0.00487,                      1,                  0.472,                0.30799,                 1.3368,                 2.9355,                 1.4955,              0.0001634,              0.0001634,              0.0001634
                     12,                 1.5372,                 3.0013,                 1.6576,                 0.0049,                      1,                0.59625,                0.33279,                 1.3396,                 2.8845,                 1.4419,             0.00017628,             0.00017628,             0.00017628
                     13,                 1.5328,                 2.7622,                 1.5611,                0.00492,                      1,                   0.58,                0.37403,                 1.2113,                 2.8802,                 1.4103,             0.00018882,             0.00018882,             0.00018882
